,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
1589,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-08-23,6366,15049,    1511,   -1460,74347,    2187,-8683
1590,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-08-16,4855,16509,    1638,     -25,72160,   -1314,-11654
1591,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-08-09,3217,16534,   -1865,    2471,73474,      61,-13317
1592,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-08-02,5082,14063,   -3886,    1589,73413,   -2335,-8981
1593,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-07-26,8968,12474,    -527,   -1100,75748,     552,-3506
1594,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-07-19,9495,13574,   -1371,    3424,75196,    1216,-4079
1595,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-07-12,10866,10150,     281,    1748,73980,    5561,716
1596,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-07-05,10585,8402,    1593,   -4387,68419,    2868,2183
1597,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-06-28,8992,12789,    1571,    2038,65551,    2477,-3797
1598,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-06-21,7421,10751,    2884,   -3250,63074,  -16852,-3330
1599,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-06-14,4537,14001,    3046,   -5493,79926,   -4126,-9464
1600,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-06-07,1491,19494,   -2282,    1608,84052,   12777,-18003
1601,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-05-31,3773,17886,   -1371,   -1532,71275,    1060,-14113
1602,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-05-24,5144,19418,     874,    4545,70215,    6033,-14274
1603,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-05-17,4270,14873,   -1809,      47,64182,    1712,-10603
1604,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-05-10,6079,14826,   -6967,    3132,62470,   -4649,-8747
1605,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-05-03,13046,11694,    3825,    2162,67119,    8237,1352
1606,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-04-26,9221,9532,     123,   -2034,58882,    1986,-311
1607,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-04-19,9098,11566,    -203,    -861,56896,     936,-2468
1608,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-04-12,9301,12427,   -1830,     889,55960,   -1141,-3126
1609,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-04-05,11131,11538,    5628,     -20,57101,    3814,-407
1610,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-03-29,5503,11558,    2172,    -752,53287,    2779,-6055
1611,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-03-22,3331,12310,   -6366,     644,50508,  -44435,-8979
1612,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-03-15,9697,11666,   -3942,    1161,94943,    1092,-1969
1613,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-03-08,13639,10505,   -5743,    -349,93851,   -5002,3134
1614,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-03-01,19382,10854,   -2603,    2069,98853,   -1270,8528
1615,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-02-22,21985,8785,    -663,   -2696,100123,   -3008,13200
1616,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-02-15,22648,11481,   13948,   -3585,103131,   16697,11167
1617,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-02-08,8700,15066,    4294,    1141,86434,    1573,-6366
1618,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-02-01,4406,13925,    1056,  -22388,84861,  -15410,-9519
1619,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-01-25,3350,36313,  -20109,   -5756,100271,   -6288,-32963
1620,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-01-18,23459,42069,    -461,   -2442,106559,     578,-18610
1621,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-01-11,23920,44511,   -1608,   -3287,105981,    2160,-20591
1622,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-01-04,25528,47798,   22232,    1403,103821,    3485,-22270
1623,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-12-28,3296,46395,    -302,      70,100336,   -1254,-43099
1624,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-12-21,3598,46325,    1049,   17912,101590,    3479,-42727
1625,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-12-14,2549,28413,     231,    6323,98111,    7750,-25864
1626,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-12-07,2318,22090,      53,   -2807,90361,   -2414,-19772
1627,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-11-30,2265,24897,     331,    8160,92775,   10387,-22632
1628,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-11-23,1934,16737,   -3430,    1318,82388,    5813,-14803
1629,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-11-16,5364,15419,    3133,  -17392,76575,  -17169,-10055
1630,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-11-09,2231,32811,    1021,   -1193,93744,     143,-30580
1631,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-11-02,1210,34004,    -221,   -7521,93601,   -9174,-32794
1632,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-10-26,1431,41525,    -626,    6420,102775,    9003,-40094
1633,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-10-19,2057,35105,    -197,   19602,93772,   28766,-33048
1634,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-10-12,2254,15503,    -139,     131,65006,    4364,-13249
1635,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-10-05,2393,15372,   -1834,    1592,60642,    1433,-12979
1636,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-09-28,4227,13780,    1461,   -2658,59209,     -82,-9553
1637,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-09-21,2766,16438,   -2586,    3266,59291,  -25174,-13672
1638,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-09-14,5352,13172,  -12480,     632,84465,   -1963,-7820
1639,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-09-07,17832,12540,   -8254,    1581,86428,    3487,5292
1640,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-08-31,26086,10959,   -1935,     740,82941,    1259,15127
1641,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-08-24,28021,10219,   -6498,     337,81682,   -4228,17802
1642,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-08-17,34519,9882,    4777,     351,85910,    8564,24637
1643,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-08-10,29742,9531,   -3125,    2249,77346,   -1389,20211
1644,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-08-03,32867,7282,    3335,   -1340,78735,    3537,25585
1645,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-07-27,29532,8622,    8756,   -1418,75198,    4195,20910
1646,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-07-20,20776,10040,   -1862,    -518,71003,   -2419,10736
1647,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-07-13,22638,10558,   -1322,     383,73422,    6048,12080
1648,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-07-06,23960,10175,    -873,    1846,67374,    1467,13785
1649,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-06-29,24833,8329,    3536,     943,65907,    1735,16504
1650,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-06-22,21297,7386,  -13258,    2024,64172,  -32453,13911
1651,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-06-15,34555,5362,    3539,     807,96625,   -2094,29193
1652,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-06-08,31016,4555,    1023,     321,98719,    6494,26461
1653,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-06-01,29993,4234,    -267,     460,92225,    2917,25759
1654,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-05-25,30260,3774,    5192,    -247,89308,   10959,26486
1655,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-05-18,25068,4021,    2900,    -761,78349,    1520,21047
1656,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-05-11,22168,4782,   -1865,     282,76829,   -1905,17386
1657,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-05-04,24033,4500,      68,    -588,78734,    1718,19533
1658,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-04-27,23965,5088,   -3771,    -118,77016,   -3372,18877
1659,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-04-20,27736,5206,     270,     108,80388,    2293,22530
1660,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-04-13,27466,5098,     -11,   -9195,78095,    4955,22368
1661,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-04-06,27477,14293,    3022,    -234,73140,    4195,13184
1662,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-03-30,24455,14527,   -6329,     799,68945,   -4280,9928
1663,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-03-23,30784,13728,    1138,   -3392,73225,  -29279,17056
1664,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-03-16,29646,17120,    3986,    8822,102504,   10769,12526
1665,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-03-09,25660,8298,   -3157,   -1556,91735,    5694,17362
1666,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-03-02,28817,9854,   -1165,     228,86041,    1689,18963
1667,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-02-23,29982,9626,    3941,     282,84352,    7135,20356
1668,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-02-16,26041,9344,    7941,    -339,77217,    9625,16697
1669,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-02-09,18100,9683,   11814,    -772,67592,   17908,8417
1670,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-02-02,6286,10455,     832,   -1055,49684,    -583,-4169
1671,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-01-26,5454,11510,    3661,   -7983,50267,   -2956,-6056
1672,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-01-19,1793,19493,   -1424,    3383,53223,    4228,-17700
1673,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-01-12,3217,16110,    -744,     799,48995,    1247,-12893
1674,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1993-01-05,3961,15311,    -897,    1328,47748,    3858,-11350
1675,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-12-29,4858,13983,   -4709,    4457,43890,    3450,-9125
1676,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-12-22,9567,9526,    3508,     640,40440,  -11267,41
1677,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-12-15,6059,8886,    1935,   -1027,51707,   -3506,-2827
1678,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-12-08,4124,9913,   -1726,      87,55213,    5598,-5789
1679,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-12-01,5850,9826,    -293,    -768,49615,    2831,-3976
1680,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-11-24,6143,10594,     507,     151,46784,   -1378,-4451
1681,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-11-17,5636,10443,   -2728,     279,48162,    4819,-4807
1682,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-11-10,8364,10164,   -1974,    1451,43343,      96,-1800
1683,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-11-03,10338,8713,   -2059,     924,43247,   -1262,1625
1684,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-10-27,12397,7789,   -1104,      99,44509,    -780,4608
1685,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-10-20,13501,7690,    3154,     998,45289,    4981,5811
1686,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-10-13,10347,6692,   -3178,      67,40308,   -7013,3655
1687,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-10-06,13525,6625,     389,    -472,47321,    1401,6900
1688,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-09-30,13136,7097,    2693,   -1723,45920,  -15254,6039
1689,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-09-15,10443,8820,    1244,     988,61174,   -5907,1623
1690,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-08-31,9199,7832,    4028,   -3604,67081,   11832,1367
1691,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-08-14,5171,11436,    2167,   -2573,55249,    -968,-6265
1692,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-07-31,3004,14009,   -4620,    5226,56217,   -1243,-11005
1693,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-07-15,7624,8783,     769,    1669,57460,    3307,-1159
1694,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-06-30,6855,7114,   -4525,    -803,54153,  -18977,-259
1695,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-06-15,11380,7917,    1772,     -70,73130,    5522,3463
1696,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-05-29,9608,7987,    3057,   -2782,67608,    6547,1621
1697,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-05-15,6551,10769,    3739,   -6270,61061,   -1889,-4218
1698,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-04-30,2812,17039,.,.,62950,.,-14227
1699,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-04-15,1527,17620,   -7309,   -4787,61269,    1522,-16093
1700,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-03-31,8836,22407,    6227,    1017,59747,  -26666,-13571
1701,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-03-13,2609,21390,   -5542,    7600,86413,   14693,-18781
1702,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-02-28,8151,13790,   -4435,    5553,71720,    4824,-5639
1703,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-02-14,12586,8237,   -3604,   -1496,66896,    -319,4349
1704,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-01-31,16190,9733,    2876,     -92,67215,    8877,6457
1705,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1992-01-15,13314,9825,   -1865,    1227,58338,   -1536,3489
1706,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-12-31,15179,8598,    6757,     -93,59874,  -12950,6581
1707,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-12-13,8422,8691,   -3266,     919,72824,    2071,-269
1708,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-11-29,11688,7772,   -7013,     234,70753,   -6243,3916
1709,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-11-15,18701,7538,    2508,   -2565,76996,    8214,11163
1710,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-10-31,16193,10103,   -9998,    1787,68782,  -12483,6090
1711,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-10-15,26191,8316,    7486,   -1327,81265,   23051,17875
1712,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-09-30,18705,9643,    2119,    -369,58214,  -20958,9062
1713,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-09-16,16586,10012,   10418,     330,79172,   23065,6574
1714,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-08-30,6168,9682,   -7953,     462,56107,   -3964,-3514
1715,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-08-15,14121,9220,    7012,     136,60071,   11058,4901
1716,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-07-31,7109,9084,  -13591,    2176,49013,  -12267,-1975
1717,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-07-15,20700,6908,    8971,   -2231,61280,   13549,13792
1718,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-06-28,11729,9139,    5376,   -7291,47731,  -20595,2590
1719,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-06-14,6353,16430,    -894,    8675,68326,   14471,-10077
1720,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-05-31,7247,7755,   -3577,    -119,53855,    -459,-508
1721,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-05-15,10824,7874,    2016,    1093,54314,    3544,2950
1722,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-04-30,8808,6781,     301,   -1408,50770,    1369,2027
1723,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-04-15,8507,8189,    3222,   -6171,49401,    6426,318
1724,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-03-28,5285,14360,     804,    2321,42975,  -20887,-9075
1725,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-03-15,4481,12039,    -269,    1829,63862,    -232,-7558
1726,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-02-28,4750,10210,   -2269,    4924,64094,     107,-5460
1727,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-02-15,7019,5286,   -1164,   -1527,63987,    7313,1733
1728,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-01-31,8183,6813,    6102,   -2671,56674,   17137,1370
1729,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1991-01-15,2081,9484,     -90,   -6163,39537,   -4713,-7403
1730,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-12-31,2171,15647,   -1436,    5638,44250,  -35361,-13476
1731,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-12-14,3607,10009,   -4609,    1440,79611,     145,-6402
1732,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-11-30,8216,8569,   -2834,   -3001,79466,    -976,-353
1733,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-11-15,11050,11570,  -12159,    3492,80442,    3119,-520
1734,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-10-31,23209,8078,   -4282,   -2274,77323,    1863,15131
1735,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-10-15,27491,10352,    3576,   -7640,75460,    6351,17139
1736,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-09-28,23915,17992,     942,    3229,69109,  -21655,5923
1737,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-09-14,22973,14763,   -1984,     916,90764,   18174,8210
1738,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-08-31,24957,13847,    6472,    -449,72590,   10507,11110
1739,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-08-15,18485,14296,    2214,    3949,62083,     -53,4189
1740,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-07-31,16271,10347,   -9430,    -310,62136,   -8202,5924
1741,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-07-13,25701,10657,   15719,   -1989,70338,   25485,15044
1742,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-06-29,9982,12646,     913,    1781,44853,  -22191,-2664
1743,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-06-15,9069,10865,   -4097,    4125,67044,   -8113,-1796
1744,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-05-31,13166,6740,   -7066,   -5959,75157,   -7274,6426
1745,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-05-15,20232,12699,    7659,   -6561,82431,    8222,7533
1746,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-04-30,12573,19260,   -3495,   -1701,74209,    6337,-6687
1747,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-04-12,16068,20961,   -3495,   -5824,67872,    -194,-4893
1748,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-03-30,19563,26785,   11050,   -2623,68066,  -28233,-7222
1749,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-03-15,8513,29408,    1588,    1298,96299,   15832,-20895
1750,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-02-28,6925,28110,   -1899,   14834,80467,   17288,-21185
1751,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-02-15,8824,13276,    -140,    3713,63179,     548,-4452
1752,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-01-31,8964,9563,    3417,   -4151,62631,    4213,-599
1753,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1990-01-15,5547,13714,   -2192,    7157,58418,    8458,-8167
1754,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-12-29,7739,6557,    3182,   -5873,49960,   -9578,1182
1755,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-12-15,4557,12430,   -7765,     638,59538,   -6629,-7873
1756,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-11-30,12322,11792,    4647,    -790,66167,    6494,530
1757,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-11-15,7675,12582,    2938,    -517,59673,    4027,-4907
1758,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-10-31,4737,13099,     285,    3345,55646,    4991,-8362
1759,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-10-13,4452,9754,   -1884,    1971,50655,   -1397,-5302
1760,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-09-29,6336,7783,     497,  -19060,52052,  -37862,-1447
1761,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-09-15,5839,26843,     -25,    4343,89914,   16559,-21004
1762,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-08-31,5864,22500,    -902,    9163,73355,   16940,-16636
1763,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-08-15,6766,13337,   -1674,     769,56415,    -268,-6571
1764,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-07-31,8440,12568,    2976,    1800,56683,   10901,-4128
1765,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-07-14,5464,10768,     629,     802,45782,    1751,-5304
1766,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-06-30,4835,9966,   -9532,   -5261,44031,  -54699,-5131
1767,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-06-15,14367,15227,    3939,   -1689,98730,   23222,-860
1768,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-05-31,10428,16916,    2411,   -7241,75508,    6761,-6488
1769,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-05-15,8017,24157,    2526,    7648,68747,   16742,-16140
1770,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-04-28,5491,16509,    -623,   -1685,52005,    2121,-11018
1771,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-04-14,6114,18194,   -1600,   -6226,49884,   -1983,-12080
1772,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-03-31,7714,24420,     325,   -1542,51867,    2069,-16706
1773,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-03-15,7389,25962,   -1142,   14303,49798,    -940,-18573
1774,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-02-28,8531,11659,     400,    3343,50738,    2816,-3128
1775,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-02-15,8131,8316,   -2573,   -7642,47922,   -4142,-185
1776,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1989-01-31,10704,15958,    6974,    5512,52064,   13751,-5254
